id,epubURL,coverImageURL
567446cdf053d89507e4b28b,http://10.143.18.4/Readerplus/epubs/books/WildeO_PD01.epub,http://10.143.18.4/Readerplus/epubs/covers/WildeO_PD01.png
567446ce8b0c9c0d06861614,http://10.143.18.4/Readerplus/epubs/books/ShelleyM_PD01.epub,http://10.143.18.4/Readerplus/epubs/covers/ShelleyM_PD01.png
567446cff053d89507e4b28e,http://10.143.18.4/Readerplus/epubs/books/BronteE_PD01.epub,http://10.143.18.4/Readerplus/epubs/covers/BronteE_PD01.png
567446d08b0c9c0d06861617,http://10.143.18.4/Readerplus/epubs/books/FitzgeraldFS_PD01.epub,http://10.143.18.4/Readerplus/epubs/covers/FitzgeraldFS_PD01.png
567446d1f053d89507e4b291,http://10.143.18.4/Readerplus/epubs/books/ShakespeareW_PD01.epub,http://10.143.18.4/Readerplus/epubs/covers/ShakespeareW_PD01.png
567446d28b0c9c0d0686161a,http://10.143.18.4/Readerplus/epdfs/books/9781415455708.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781415455708.png
567446d3f053d89507e4b294,http://10.143.18.4/Readerplus/epubs/books/9780191056543.epub,http://10.143.18.4/Readerplus/epubs/covers/9780191056543.png
567446d4f053d89507e4b296,http://10.143.18.4/Readerplus/epdfs/books/9781473743533.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781473743533.png
567446d58b0c9c0d0686161e,http://10.143.18.4/Readerplus/epdfs/books/9780273723905.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9780273723905.png
567446d6f053d89507e4b299,http://10.143.18.4/Readerplus/epdfs/books/9780273735205.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9780273735205.png
567446d88b0c9c0d06861621,http://10.143.18.4/Readerplus/epdfs/books/9780273739487.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9780273739487.png
567446d98b0c9c0d06861623,http://10.143.18.4/Readerplus/epdfs/books/9780273766285.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9780273766285.png
567446daf053d89507e4b29c,http://10.143.18.4/Readerplus/epdfs/books/9780273775775.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9780273775775.png
567446db8b0c9c0d06861626,http://10.143.18.4/Readerplus/epdfs/books/9781292017402.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292017402.png
567446dcf053d89507e4b29f,http://10.143.18.4/Readerplus/epdfs/books/9781292034676.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292034676.png
567446dd8b0c9c0d06861629,http://10.143.18.4/Readerplus/epdfs/books/9781292051734.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292051734.png
567446def053d89507e4b2a3,http://10.143.18.4/Readerplus/epdfs/books/9781292061832.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292061832.png
567446df8b0c9c0d0686162c,http://10.143.18.4/Readerplus/epdfs/books/9781292065243.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292065243.png
567446e1f053d89507e4b2a6,http://10.143.18.4/Readerplus/epdfs/books/9781292067254.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292067254.png
567446e28b0c9c0d0686162f,http://10.143.18.4/Readerplus/epdfs/books/9781292068671.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292068671.png
567446e3f053d89507e4b2a9,http://10.143.18.4/Readerplus/epdfs/books/9781292069555.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292069555.png
567446e48b0c9c0d06861632,http://10.143.18.4/Readerplus/epdfs/books/9781292070025.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292070025.png
567446e5f053d89507e4b2ac,http://10.143.18.4/Readerplus/epdfs/books/9781292072968.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292072968.png
567446e68b0c9c0d06861635,http://10.143.18.4/Readerplus/epdfs/books/9781292076386.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292076386.png
567446e7f053d89507e4b2af,http://10.143.18.4/Readerplus/epdfs/books/9781292076621.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292076621.png
567446e88b0c9c0d06861638,http://10.143.18.4/Readerplus/epdfs/books/9781292092713.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292092713.png
567446e9f053d89507e4b2b2,http://10.143.18.4/Readerplus/epdfs/books/9781292099156.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781292099156.png
567446ea8b0c9c0d0686163b,http://10.143.18.4/Readerplus/epdfs/books/9781405870313.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781405870313.png
567446eb8b0c9c0d0686163d,http://10.143.18.4/Readerplus/epdfs/books/9781784487546.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781784487546.png
567446ecf053d89507e4b2b5,http://10.143.18.4/Readerplus/epdfs/books/9781784487560.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781784487560.png
567446ed8b0c9c0d06861640,http://10.143.18.4/Readerplus/epdfs/books/9781784487843.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781784487843.png
567446eef053d89507e4b2b8,http://10.143.18.4/Readerplus/epubs/books/9781118305140.epub,http://10.143.18.4/Readerplus/epubs/covers/9781118305140.png
567446ef8b0c9c0d06861643,http://10.143.18.4/Readerplus/epdfs/books/9781119066002.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781119066002.png
567446f0f053d89507e4b2bc,http://10.143.18.4/Readerplus/epdfs/books/9781784487553.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781784487553.png
567446f18b0c9c0d06861646,http://10.143.18.4/Readerplus/epdfs/books/9781118209882.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781118209882.png
567446f2f053d89507e4b2bf,http://10.143.18.4/Readerplus/epdfs/books/9781784487973.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781784487973.png
567446f38b0c9c0d06861649,http://10.143.18.4/Readerplus/epdfs/books/9781784487980.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781784487980.png
567446f4f053d89507e4b2c2,http://10.143.18.4/Readerplus/epdfs/books/9781485104902.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9781485104902.png
567446f58b0c9c0d0686164c,http://10.143.18.4/Readerplus/epubs/books/9781485109297.epub,http://10.143.18.4/Readerplus/epubs/covers/9781485109297.png
567446f6f053d89507e4b2c5,http://10.143.18.4/Readerplus/epubs/books/9781485115304.epub,http://10.143.18.4/Readerplus/epubs/covers/9781485115304.png
567446f78b0c9c0d0686164f,http://10.143.18.4/Readerplus/epubs/books/9781485115342.epub,http://10.143.18.4/Readerplus/epubs/covers/9781485115342.png
567446f8f053d89507e4b2c8,http://10.143.18.4/Readerplus/epubs/books/9781485115366.epub,http://10.143.18.4/Readerplus/epubs/covers/9781485115366.png
567446f98b0c9c0d06861652,http://10.143.18.4/Readerplus/epubs/books/9780190404703.epub,http://10.143.18.4/Readerplus/epubs/covers/9780190404703.png
567446faf053d89507e4b2cb,http://10.143.18.4/Readerplus/epubs/books/9780190415938.epub,http://10.143.18.4/Readerplus/epubs/covers/9780190415938.png
567446fb8b0c9c0d06861655,http://10.143.18.4/Readerplus/epubs/books/9780199042821.epub,http://10.143.18.4/Readerplus/epubs/covers/9780199042821.png
567446fcf053d89507e4b2ce,http://10.143.18.4/Readerplus/epubs/books/9780199042937.epub,http://10.143.18.4/Readerplus/epubs/covers/9780199042937.png
567446fdf053d89507e4b2d0,http://10.143.18.4/Readerplus/epubs/books/9780199045198.epub,http://10.143.18.4/Readerplus/epubs/covers/9780199045198.png
567446fe8b0c9c0d06861658,http://10.143.18.4/Readerplus/epubs/books/OSA_CS_STG.epub,http://10.143.18.4/Readerplus/epubs/covers/OSA_CS_STG.png
567446fff053d89507e4b2d3,http://10.143.18.4/Readerplus/epubs/books/OSA_CS_Lab.epub,http://10.143.18.4/Readerplus/epubs/covers/OSA_CS_Lab.png
56744700f053d89507e4b2d5,http://10.143.18.4/Readerplus/epubs/books/OSA_NT_STG.epub,http://10.143.18.4/Readerplus/epubs/covers/OSA_NT_STG.png
567447018b0c9c0d0686165c,http://10.143.18.4/Readerplus/epubs/books/OSA_NT_Lab.epub,http://10.143.18.4/Readerplus/epubs/covers/OSA_NT_Lab.png
56744702f053d89507e4b2d8,http://10.143.18.4/Readerplus/epubs/books/9780627034497.epub,http://10.143.18.4/Readerplus/epubs/covers/9780627034497.png
567447038b0c9c0d06861660,http://10.143.18.4/Readerplus/epdfs/books/9780409120370.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9780409120370.png
56744704f053d89507e4b2db,http://10.143.18.4/Readerplus/epdfs/books/9780409121261.pdf,http://10.143.18.4/Readerplus/epdfs/covers/9780409121261.png
